category,district,total_price,land_area_aana,build_up_area,floors,facing,road_width_feet,bedrooms,bathrooms,parking_cars,parking_bikes,house_age,is_under_construction,amenity_count,has_modular_kitchen,has_parquet,has_drainage,has_solar,has_parking,has_garden,is_wide_road,is_area_estimated,luxury_score,price_segment,is_incomplete_listing,log_land,log_build_up,neighborhood_encoded
0,2,16000000.0,2.2,1054.13,2.0,4,13.0,4.0,2.0,0.0,0.0,7.0,0,11,1,0,0,0,1,1,0,1,3,1,0,1.1631508098056809,6.961419261067683,17.136122222322758
0,2,25000000.0,3.1,1856.71,2.5,7,13.0,4.0,4.0,1.0,1.0,14.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.410986973710262,7.527099825383354,17.1277587429781
0,2,28000000.0,3.0,1796.81,2.5,7,20.0,5.0,4.0,1.0,1.0,6.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.3862943611198906,7.4943245364778175,17.1277587429781
0,2,27000000.0,3.2,1916.6,2.5,6,14.0,5.0,3.0,0.0,2.0,6.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.4350845252893227,7.558829683120175,17.136122222322758
0,2,39900000.0,4.2,2515.54,2.5,4,16.0,5.0,5.0,1.0,2.0,6.0,0,11,0,1,1,0,1,0,0,1,3,3,0,1.6486586255873816,7.830640221182479,17.598201792760147
0,2,49900000.0,5.0,4192.56,3.5,4,16.0,4.0,4.0,2.0,3.0,6.0,0,11,0,1,1,0,1,0,0,1,3,4,0,1.791759469228055,8.341305294179508,17.598201792760147
0,2,17000000.0,4.2,2515.54,2.5,0,10.0,5.0,3.0,0.0,1.0,6.0,0,11,1,0,1,0,1,0,0,1,3,1,0,1.6486586255873816,7.830640221182479,16.811087710450938
0,2,42500000.0,3.3,1976.49,2.5,6,20.0,4.0,4.0,0.0,0.0,6.0,0,11,0,1,1,0,1,1,0,1,4,3,0,1.4586150226995167,7.58958364273901,17.598201792760147
0,2,17000000.0,3.0,1437.45,2.0,7,13.0,4.0,2.0,1.0,2.0,5.0,0,11,0,0,1,0,1,1,0,1,3,1,0,1.3862943611198906,7.271321423958596,16.95713066296133
0,0,52500000.0,5.0,2994.69,2.5,5,20.0,5.0,4.0,2.0,0.0,6.0,0,11,0,0,1,0,1,1,0,1,3,4,0,1.791759469228055,8.004929867988526,17.315951922821398
0,0,25000000.0,5.0,2514.5,2.5,4,13.0,7.0,3.0,2.0,2.0,8.0,0,11,0,0,0,0,1,1,0,0,2,1,0,1.791759469228055,7.830226869931373,17.034386422832473
0,1,32000000.0,4.2,2515.54,2.5,7,13.0,7.0,5.0,2.0,5.0,3.0,0,11,0,0,1,0,1,0,0,1,2,2,0,1.6486586255873816,7.830640221182479,17.12723460309608
0,2,25000000.0,3.2,2299.92,3.0,4,18.0,6.0,3.0,0.0,2.0,6.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.4350845252893227,7.741064321938568,16.948365884387538
0,2,23500000.0,3.2,1916.6,2.5,7,13.0,4.0,3.0,0.0,2.0,6.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.4350845252893227,7.558829683120175,17.136122222322758
0,1,39000000.0,3.0,1864.0,2.5,7,13.0,3.0,4.0,1.0,1.0,6.0,0,11,0,1,1,0,1,0,0,0,3,3,0,1.3862943611198906,7.5310163320779155,17.5668616321516
0,1,33000000.0,6.0,3593.62,2.5,1,12.0,5.0,5.0,2.0,4.0,6.0,0,11,0,1,1,0,1,1,0,1,4,3,0,1.9459101490553132,8.187193562203863,17.66719878919104
0,1,85000000.0,9.3,5570.12,2.5,0,20.0,6.0,6.0,3.0,5.0,12.0,0,11,0,1,1,0,1,1,0,1,4,4,0,2.33214389523559,8.625351389907301,17.67961745663397
0,1,60300000.0,5.0,4192.56,3.5,1,16.0,4.0,4.0,3.0,5.0,2.0,0,11,0,0,1,0,1,1,0,1,3,4,0,1.791759469228055,8.341305294179508,17.462925648954887
0,2,16500000.0,3.1,1856.71,2.5,4,16.0,4.0,2.0,1.0,2.0,6.0,0,11,0,1,0,0,1,0,0,1,2,1,0,1.410986973710262,7.527099825383354,17.136122222322758
0,2,22500000.0,3.1,1856.71,2.5,3,20.0,4.0,4.0,0.0,1.0,6.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.410986973710262,7.527099825383354,17.136122222322758
0,1,33000000.0,6.2,3713.41,2.5,4,13.0,6.0,5.0,2.0,3.0,6.0,0,11,0,1,1,0,1,1,0,1,4,3,0,1.9740810260220096,8.219975128926942,17.462925648954887
0,1,75000000.0,9.1,3800.0,3.5,6,16.0,8.0,6.0,0.0,0.0,6.0,0,11,0,0,1,0,1,0,0,0,2,4,0,2.312535423847214,8.24301946898925,17.52744211041324
0,2,27500000.0,3.1,2228.05,3.0,7,13.0,5.0,3.0,0.0,0.0,5.0,0,11,1,0,1,0,1,0,0,1,3,2,0,1.410986973710262,7.709330764717954,17.136122222322758
0,2,28500000.0,3.2,1916.6,2.5,0,12.0,6.0,5.0,1.0,0.0,5.0,0,11,0,0,1,0,1,0,0,1,2,2,0,1.4350845252893227,7.558829683120175,17.119140811308014
