ad_id,Type,Title,location,Price,Land_Size,Road_Type,Road_Size
HB-FA8F4B,LandIndividual,Land on sell chandragiri Thankot,"chandagiri, Chandragiri, Kathmandu",1800000.0,4.0,Pitched,ThirteenToTwentyFeet
HB-1FAD77,LandIndividual,"Land on sell at Nakxal Bhagwati mandeer,Kathmandu","Naxal, Kathmandu",1100000000.0,10.0,Pitched,ThirteenToTwentyFeet
HB-6F17EC,Land - Commercial Use,LAND FOR SALE SINAMANGAL HIGHWAY,"Kathmandu Ringroad, गैरी गाउँ, Kathmandu-09, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44703, नेपाल",15000000.0,10.504017531044559,Pitched,Above 20 Ft.
HB-06A6E7,LandPlotted,7.2 Anna Land At Narayanthan(Budanilkantha),"budanilkantha, Narayanthan (Budhanilkantha), Kathmandu",5500000.0,7.2,Budhanilkantha temple,ThirteenToTwentyFeet
HB-864983,LandPlotted,Land for sale at champi 6 km from ekantakuna,"Champi (Karyabinayak), Lalitpur",2000000.0,10.0,Gravel,ThirteenToTwentyFeet
HB-65D601,LandPlotted,Land 3.5 anna land for sale at lalitpur bhaisepati,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",4200000.0,3.0625,Gravel,ThirteenToTwentyFeet
HB-B366DE,LandPlotted,Urgent Land for sale at dadhikot,"Dadhikot (Ananta), Bhaktapur",2600000.0,4.5625,Pitched,ThirteenToTwentyFeet
HB-45BB89,LandPlotted,"7 anna plotted land for sale at chobhar, Taudaha","kritipur chovar, Chobhar (Kirtipur), Kathmandu",3000000.0,7.625,Gravel,AboveTwentyFeet
HB-39C654,LandPlotted,Plotted Land in Bhaisepati on Sale,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",4500000.0,5.0,Gravel,ThirteenToTwentyFeet
HB-9987CD,LandIndividual,Land for sale in Budhanilkantha,"budanilkantha, Budhanilkantha, Kathmandu",5600000.0,9.0,Pitched,ThirteenToTwentyFeet
