district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m
Kathmandu,Residential,South-East,High Access,Semi Furnished,Budhanilkantha,9,Mandikatar,5.0,2.0,4.0,2.0,1.0,2.5,26000000.0,3.0,1026.75,4.0,13.0,200.0,5000.0,200.0,200.0,200.0,400.0,300.0,200.0,5000.0,300.0
Kathmandu,Residential,West,High Access,Semi Furnished,Kathmandu,14,Kuleshwor,4.0,1.0,2.0,2.0,4.0,2.5,80000000.0,10.5,1369.0,4.0,10.0,200.0,7200.0,220.0,1170.0,500.0,480.0,120.0,900.0,6800.0,2700.0
Kathmandu,Residential,East,High Access,Semi Furnished,Kathmandu,9,Tinkune,13.0,3.0,5.0,2.0,2.0,3.5,78000000.0,8.5,1711.25,22.0,13.0,500.0,1000.0,100.0,500.0,220.0,100.0,220.0,220.0,3000.0,200.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Tokha,3,Tokha,7.0,2.0,4.0,2.0,1.0,2.5,35000000.0,4.0,1129.42,1.0,13.0,500.0,5000.0,300.0,500.0,200.0,400.0,200.0,300.0,4000.0,3500.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Tarkeshwor,1,Budhanilkantha,6.0,3.0,3.0,3.0,1.0,3.0,23500000.0,3.5,1026.75,7.0,13.0,400.0,5000.0,300.0,400.0,200.0,300.0,100.0,500.0,4000.0,6500.0
Kathmandu,Residential,East,Low Access,Unfurnished,Tarkeshwor,1,Tarkeshwor,5.0,1.0,3.0,2.0,1.0,2.0,18000000.0,4.0,1197.87,9.0,16.0,400.0,4000.0,300.0,500.0,300.0,300.0,200.0,500.0,4000.0,200.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Tarkeshwor,1,Budhanilkantha,2.0,1.0,1.0,1.0,1.0,1.0,16000000.0,3.25,1197.87,6.0,16.0,400.0,5000.0,300.0,700.0,300.0,500.0,200.0,500.0,4000.0,200.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Tokha,3,Tokha,5.0,2.0,3.0,1.0,1.0,2.5,20000000.0,3.5,1197.87,8.0,13.0,400.0,5000.0,400.0,500.0,400.0,500.0,200.0,500.0,4000.0,50.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Tokha,3,Tokha,5.0,2.0,4.0,1.0,1.0,2.5,25500000.0,2.5,941.18,1.0,13.0,400.0,5000.0,200.0,600.0,200.0,400.0,500.0,100.0,4000.0,200.0
Kathmandu,Residential,South-East,High Access,Semi Furnished,Nagarjun,5,Kalanki,4.0,1.0,5.0,1.0,1.0,2.5,32500000.0,4.0,1112.31,4.5,13.0,400.0,7740.0,400.0,400.0,50.0,100.0,300.0,500.0,7660.0,1000.0
Kathmandu,Residential,South-West,High Access,Semi Furnished,Tokha,3,Tokha,6.0,2.0,5.0,2.0,1.0,2.5,25000000.0,3.5,1112.31,7.0,10.0,1000.0,8000.0,200.0,2000.0,200.0,600.0,100.0,1000.0,7000.0,2000.0
Kathmandu,Residential,West,Low Access,Semi Furnished,Budhanilkantha,2,Budhanilkantha,6.0,2.0,5.0,2.0,1.0,2.5,35000000.0,3.5,2366.0,0.0,13.0,2000.0,7000.0,100.0,2100.0,180.0,360.0,150.0,400.0,6500.0,1560.0
Kathmandu,Residential,South-East,High Access,Semi Furnished,Kageshwori Manohara,8,Gothatar,6.0,2.0,3.0,2.0,5.0,2.5,33000000.0,4.0,2333.54,16.0,20.0,2000.0,5500.0,400.0,3500.0,500.0,2000.0,300.0,800.0,3600.0,3500.0
Kathmandu,Residential,West,Low Access,Semi Furnished,Budhanilkantha,2,Budhanilkantha,6.0,2.0,5.0,2.0,1.0,2.5,35000000.0,3.5,2360.0,0.0,13.0,2000.0,7000.0,150.0,2100.0,180.0,360.0,150.0,400.0,6500.0,1560.0
Kathmandu,Commercial,East,High Access,Unfurnished,Kathmandu,15,Dallu,8.0,5.0,5.0,4.0,1.0,5.5,58000000.0,3.75,1189.3325,17.0,22.0,1000.0,7000.0,270.0,2100.0,100.0,560.0,100.0,430.0,8000.0,1130.0
Kathmandu,Residential,South,High Access,Unfurnished,Kathmandu,6,Boudha,15.0,5.0,5.0,1.0,2.0,5.0,17000000.0,2.5,855.62,17.0,11.0,1000.0,4000.0,80.0,1400.0,100.0,381.8,100.0,560.0,500.0,930.0
Kathmandu,Commercial,South,High Access,Unfurnished,Kathmandu,32,Teku,10.0,1.0,4.0,4.0,2.0,5.5,40000000.0,1.75,342.25,32.0,32.0,1000.0,4000.0,80.0,1400.0,100.0,420.0,50.0,160.0,6000.0,540.0
Kathmandu,Commercial,South,High Access,Unfurnished,Kathmandu,30,Gyaneshwor,7.0,3.0,6.0,1.0,3.0,5.5,55000000.0,4.56,1026.75,13.0,22.0,1000.0,2000.0,90.0,1220.0,100.0,420.0,100.0,310.0,4000.0,570.0
Kathmandu,Residential,North-East,High Access,Semi Furnished,Gokarneshwor,4,Jorpati,7.0,3.0,4.0,3.0,2.0,3.5,37500000.0,4.5,1232.0974999999999,2.0,12.0,1000.0,7000.0,418.0,4000.0,1000.0,1000.0,500.0,1000.0,3000.0,5000.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Kageshwori Manohara,6,Mulpani,8.0,3.0,5.0,3.0,2.0,3.5,35000000.0,4.0,2125.12,1.0,20.0,1000.0,7000.0,418.0,3000.0,1000.0,1000.0,100.0,1000.0,5000.0,5000.0
Kathmandu,Semi-commercial,East,Low Access,Semi Furnished,Budhanilkantha,6,Budhanilkantha,6.0,3.0,5.0,1.0,1.0,3.0,36500000.0,4.0,1197.87,0.0,26.0,500.0,5000.0,300.0,600.0,500.0,600.0,400.0,700.0,4000.0,100.0
Kathmandu,Residential,West,Low Access,Semi Furnished,Budhanilkantha,2,Budhanilkantha,6.0,2.0,4.0,2.0,1.0,2.5,32000000.0,4.0,2761.0,1.0,14.0,500.0,8000.0,200.0,2000.0,500.0,500.0,100.0,200.0,7000.0,2000.0
Kathmandu,Residential,East,Low Access,Unfurnished,Budhanilkantha,6,Budhanilkantha,5.0,3.0,5.0,3.0,1.0,3.0,32000000.0,3.5,1197.87,3.0,13.0,400.0,4000.0,300.0,300.0,300.0,500.0,400.0,600.0,4000.0,11000.0
Kathmandu,Residential,South-East,High Access,Semi Furnished,Tokha,3,Tokha,6.0,2.0,6.0,2.0,1.0,2.5,42500000.0,4.12,1283.43,0.0,20.0,300.0,8000.0,300.0,1000.0,200.0,210.0,100.0,500.0,7000.0,3000.0
