district,road_type,land_size_aana,price_per_aana,is_large_plot,road_width_feet,is_wide_road,facing,source,log_land,neighborhood_encoded
2,3,3.1,4500000.0,0,13.0,0,7,0,1.410986973710262,15.49449325266486
1,0,8.0,5990000.0,0,13.0,0,7,0,2.1972245773362196,15.371640665662257
0,0,4.0,4400000.0,0,13.0,0,7,0,1.6094379124341003,15.230403246494165
2,0,8.0,11500000.0,0,13.0,0,7,0,2.1972245773362196,15.324889802416322
2,0,22.0,12500000.0,0,13.0,0,7,0,3.1354942159291497,15.415943755967746
2,2,16.0,5200000.0,0,13.0,0,7,0,2.833213344056216,15.415943755967746
2,1,6.0,2200000.0,0,13.0,0,7,0,1.9459101490553132,14.798336880423664
1,0,9.0,5200000.0,0,13.0,0,7,0,2.302585092994046,15.371640665662257
2,0,14.0,5600000.0,0,13.0,0,7,0,2.70805020110221,15.51168837132831
1,0,6.0,1800000.0,0,13.0,0,7,0,1.9459101490553132,14.076963152141449
1,0,8.0,4200000.0,0,13.0,0,7,0,2.1972245773362196,15.28609246171445
2,0,22.0,7500000.0,0,13.0,0,7,0,3.1354942159291497,15.797351059185896
2,0,12.0,15500000.0,0,13.0,0,7,0,2.5649493574615367,16.502809585375125
2,2,3.0,4600000.0,0,13.0,0,7,0,1.3862943611198906,14.979781014302722
2,2,10.0,3800000.0,0,13.0,0,7,0,2.3978952727983707,15.324399831021834
2,2,10.0,5500000.0,0,13.0,0,7,0,2.3978952727983707,15.324399831021834
2,3,4.2,1800000.0,0,13.0,0,7,0,1.6486586255873816,14.076963152141449
2,3,4.0,2500000.0,0,13.0,0,7,0,1.6094379124341003,14.871275810783608
2,3,4.0,2200000.0,0,13.0,0,7,0,1.6094379124341003,14.871275810783608
2,3,3.5,2600000.0,0,13.0,0,7,0,1.5040773967762742,14.871275810783608
0,3,3.0,4300000.0,0,13.0,0,7,0,1.3862943611198906,15.298859279793279
1,0,6.5,7500000.0,0,13.0,0,7,0,2.0149030205422647,15.767583314110528
1,0,3.0,4000000.0,0,13.0,0,7,0,1.3862943611198906,15.371640665662257
1,0,16.0,4100000.0,0,13.0,0,7,0,2.833213344056216,15.315970225277846
1,0,4.0,10000000.0,0,13.0,0,7,0,1.6094379124341003,15.797351059185896
1,0,5.0,4200000.0,0,13.0,0,7,0,1.791759469228055,15.28609246171445
1,0,15.0,4500000.0,0,13.0,0,7,0,2.772588722239781,15.169167886528076
2,2,19.0,10000000.0,0,13.0,0,7,0,2.995732273553991,16.34044893073437
2,0,7.0,11500000.0,0,13.0,0,7,0,2.0794415416798357,15.415943755967746
2,0,5.0,5200000.0,0,13.0,0,7,0,1.791759469228055,15.324399831021834
1,2,4.0,1700000.0,0,13.0,0,7,0,1.6094379124341003,14.771437151480784
1,2,4.0,1900000.0,0,13.0,0,7,0,1.6094379124341003,14.771437151480784
2,0,6.0,11500000.0,0,13.0,0,7,0,1.9459101490553132,15.324889802416322
2,0,7.0,11500000.0,0,13.0,0,7,0,2.0794415416798357,15.696265964460625
1,0,14.0,4000000.0,0,13.0,0,7,0,2.70805020110221,14.970235115388723
2,1,10.5,3200000.0,0,13.0,0,7,0,2.4423470353692043,14.871275810783608
2,2,4.0,3500000.0,0,13.0,0,7,0,1.6094379124341003,15.189064774821553
1,0,11.0,7000000.0,0,13.0,0,7,0,2.4849066497880004,15.965672589105742
2,0,3.2,6750000.0,0,13.0,0,7,0,1.4350845252893227,15.80310865142413
2,3,6.5,5500000.0,0,13.0,0,7,0,2.0149030205422647,15.371640665662257
2,3,4.0,5500000.0,0,13.0,0,7,0,1.6094379124341003,15.49449325266486
2,3,4.0,4500000.0,0,13.0,0,7,0,1.6094379124341003,15.332505342187606
2,0,6.5,4000000.0,0,13.0,0,7,0,2.0149030205422647,15.154953559161191
0,0,50.0,2100000.0,0,13.0,0,7,0,3.9318256327243257,14.871275810783608
2,0,5.0,5000000.0,0,13.0,0,7,0,1.791759469228055,15.332505342187606
2,1,3.5,2050000.0,0,13.0,0,7,0,1.5040773967762742,14.871275810783608
1,0,8.5,9500000.0,0,13.0,0,7,0,2.2512917986064953,15.797351059185896
1,0,4.0,7500000.0,0,13.0,0,7,0,1.6094379124341003,15.698737567629312
2,1,5.0,3050000.0,0,13.0,0,7,0,1.791759469228055,14.798336880423664
2,0,3.0,4000000.0,0,13.0,0,7,0,1.3862943611198906,14.871275810783608
1,0,6.0,6000000.0,0,13.0,0,7,0,1.9459101490553132,15.698737567629312
1,0,22.0,7500000.0,0,13.0,0,7,0,3.1354942159291497,15.797351059185896
1,2,4.0,2800000.0,0,13.0,0,7,0,1.6094379124341003,14.871275810783608
2,0,28.5,16000000.0,0,13.0,0,7,0,3.3843902633457743,16.34044893073437
2,2,8.0,8500000.0,0,13.0,0,7,0,2.1972245773362196,15.797351059185896
2,0,5.0,5000000.0,0,13.0,0,7,0,1.791759469228055,15.342822671710897
