category,ad_id,title,location_raw,district,neighborhood,road_type,raw_price,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot
land,HB-26D710,land for sale khokhana lalitpur 5 ropani 12 aana,"सिकली मार्ग, Sano Khokana, Khokana, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,सिकली मार्ग,Above 20 Ft,1750000.0,92.0,1750000.0,161000000.0,False,False,False,True
land,HB-627136,land on sale sakhu,"Sankhu, Route 6, Shankharapur-7, Kathmandu, Bagmati Pradesh",Kathmandu,Sankhu,13-20 Ft,1100000.0,9.0,1100000.0,9900000.0,False,False,False,False
land,HB-095C1E,Samakhushi Ma 5 Aana Jagga Bikrima,"Bal Kumari Marg, Samakhushi, Kathmandu Metropolitan City, Kathmandu",Kathmandu,Samakhushi,13-20 Ft,8500000.0,5.0,8500000.0,42500000.0,False,False,False,False
land,HB-8DF9D5,Samakhusi Ma 4 Aana 1 Paisa Jagga Bikrima,"Bal Kumari Marg, Samakhushi, Kathmandu Metropolitan City, Kathmandu",Kathmandu,Samakhushi,13-20 Ft,7500000.0,4.0,7500000.0,30000000.0,False,False,False,False
land,HB-E638E8,Land for Sale – 4.5 Aana (Nagdaha Nearby) per aana,"Chautara Nakkhu Khola Marg, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Chautara Nakkhu Khola Marg,Above 20 Ft,4000000.0,4.5,4000000.0,18000000.0,False,False,False,False
land,HB-15FD10,land for sale bhaisepati lalitpur 4.5,"Bhaisepati, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Bhaisepati,13-20 Ft,5700000.0,4.0,5700000.0,22800000.0,False,False,False,False
land,HB-639449,"Commercial Land On Sale At Dhapakhel, Lalitpur.","Dhapakhel Hp, Lalitpur-15, Lalitpur",Lalitpur,Dhapakhel,Pitched Road,5500000.0,4.0,5500000.0,22000000.0,False,False,False,False
land,HB-A22F56,Land for Sale near Khadka Gaun Bhachiyakoo,"Khadka Gaun, Chandragiri-14, Kathmandu",Kathmandu,Khadka Gaun,Unknown,3700000.0,4.5,3700000.0,16650000.0,False,False,False,False
land,HB-4EC088,"Land For Sale | Bhangal Height,Budhanilkantha","Bhangal (Budhanilkantha), Kathmandu",Kathmandu,Budhanilkantha,13-20 Ft,4000000.0,4.0,4000000.0,16000000.0,False,False,False,False
land,HB-CD42ED,land for sale nearby Kotar Mbc lalitpur bugamadi,"एकान्तकुना-टिकभैरब रोड, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Ekantakuna,Above 20 Ft,3900000.0,4.0,3900000.0,15600000.0,False,False,False,False
land,HB-43E7A3,"Land on Sale at Bansbari, code no: GJBLOS 3560","Bansbari Kathamandu, Kathmandu-3, Kathmandu",Kathmandu,Bansbari,Pitched Road,6000000.0,7.5,6000000.0,45000000.0,False,False,False,False
land,HB-6F4257,"Land on Sale at Narayanthan Height, GJBLOS 3656","Narayanthan Residence, Budhanilakantha-2, Kathmandu",Kathmandu,Narayanthan Residence,Pitched Road,2700000.0,14.0,2700000.0,37800000.0,False,False,False,False
land,HB-EEBA16,3.1 Ana Land For Sale At Chandol Dhumbahari,"Gautam Kirna Store, Pragati Tole Marg, Kathmandu Metropolitan City, Kathmandu",Kathmandu,Gautam Kirna Store,Unknown,6500000.0,3.1,6500000.0,20150000.0,False,False,False,False
land,HB-09B569,land for sale imadol lalitpur 14 aaana,"Gwarko-Lamatar Road, Mahalaxmi, Mahalaxmi Municipality, Lalitpur",Lalitpur,Gwarko,Above 20 Ft,5000000.0,14.0,5000000.0,70000000.0,False,False,False,False
land,HB-840454,5/6 aana land for sale Grandy Tower Tokha,"Tokha-6, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,13-20 Ft,4500000.0,11.0,4500000.0,49500000.0,False,False,False,False
land,HB-C7E8B7,"Land On Sale At Hattigaunda, Budhanilkantha","Hattigauda, Golphutar Main Sadak, Budhanilakantha-7, Kathmandu",Kathmandu,Hattigauda,Pitched Road,5000000.0,15.0,5000000.0,75000000.0,False,False,False,False
land,HB-EA9DBE,Land for Sale at Gamcha,"Gamcha Pukhu गाम्चा पुखु, Kirtipur-9, Kathmandu",Kathmandu,Gamcha Pukhu गाम्चा पुखु,Pitched Road,3000000.0,4.0,3000000.0,12000000.0,False,False,False,False
land,HB-334D18,Land for Sale at Khatrichapp Dryport chovar,"Nepal Creative Society Chovar, Batmintoon Court, Kirtipur-6, Kathmandu",Kathmandu,Batmintoon Court,Pitched Road,2400000.0,4.0,2400000.0,9600000.0,False,False,False,False
