neighborhood,district,location_raw,price_per_aana,land_size_aana,calculated_total_price,road_width_feet,road_type,facing,is_wide_road,is_price_suspect,is_large_plot,is_rate_outlier,is_price_outlier
Sirutar,Bhaktapur,"Sirutar, Bhaktapur",3700000.0,4.2,15540000.0,13.0,Gravel,East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",6500000.0,,,13.0,Pitched,West,False,False,False,False,False
Kalanki,Kathmandu,"Kalanki, Kathmandu",10500000.0,,,10.0,Pitched,East,False,False,False,False,False
Jhulpokhari,Kathmandu,"Jhulpokhari, Kathmandu",2800000.0,,,13.0,Gravel,South,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",4900000.0,4.2,20580000.0,13.0,Paved,North-East,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",4000000.0,5.1,20400000.0,13.0,Paved,South,False,False,False,False,False
Gatthaghar,Bhaktapur,"Gatthaghar, Bhaktapur",4500000.0,3.2,14400000.0,13.0,Paved,East,False,False,False,False,False
Lokanthali,Bhaktapur,"Lokanthali, Bhaktapur",5500000.0,,,13.0,Paved,South-West,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",7500000.0,,,24.0,Paved,North-East,False,False,False,False,False
Jhulpokhari,Kathmandu,"Jhulpokhari, Kathmandu",2400000.0,4.2,10080000.0,13.0,Gravel,East,False,False,False,False,False
Gatthaghar,Bhaktapur,"Gatthaghar, Bhaktapur",5000000.0,3.2,16000000.0,20.0,Gravel,East,False,False,False,False,False
Dadhikot,Bhaktapur,"Dadhikot, Bhaktapur",2200000.0,,,13.0,Gravel,East,False,False,False,False,False
Kamerotar,Bhaktapur,"Kamerotar, Bhaktapur",5200000.0,4.3,22360000.0,20.0,Gravel,South,False,False,False,False,False
Sirutar,Bhaktapur,"Sirutar, Bhaktapur",2700000.0,,,13.0,Gravel,East,False,False,False,False,False
Lokanthali,Bhaktapur,"Lokanthali, Bhaktapur",6600000.0,,,13.0,Gravel,North-West,False,False,False,False,False
Mulpani,Kathmandu,"Mulpani, Kathmandu",2200000.0,,,13.0,Gravel,North,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",3800000.0,6.1,23180000.0,13.0,Gravel,East,False,False,False,False,False
Jhaukhel,Bhaktapur,"Jhaukhel, Bhaktapur",2600000.0,,,13.0,Gravel,West,False,False,False,False,False
Thali,Kathmandu,"Thali, Kathmandu",2900000.0,3.3,9570000.0,,,South-East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",6500000.0,6.2,40300000.0,20.0,Paved,South-East,False,False,False,False,False
Tathali,Bhaktapur,"Tathali, Bhaktapur",2200000.0,,,10.0,Pitched,South,False,False,False,False,False
Chandol,Kathmandu,"Chandol, Kathmandu",7000000.0,5.2,36400000.0,13.0,Pitched,East,False,False,False,False,False
Ramkot,Kathmandu,"Ramkot, Kathmandu",3000000.0,4.3,12900000.0,20.0,Pitched,South,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",4100000.0,3.1,12710000.0,16.0,Paved,East,False,False,False,False,False
