district,property_type,property_face,road_type,municipality,ward_no,neighborhood,price_per_aana,land_size_aana,road_width_feet,facing_road_width,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,public_transport_m,police_station_m,ring_road_m,ring_road_proximity,comm_road_premium,is_corner_plot
Kathmandu,Semi-commercial,West,High Access,Kathmandu,16,Banasthali,6000000.0,4.37,20.0,55.0,3000.0,8000.0,100.0,3000.0,100.0,50.0,1000.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,South,Low Access,Budhanilkantha,1,Budhanilkantha,2700000.0,3.0,16.0,35.0,5000.0,8000.0,3000.0,4000.0,2000.0,5000.0,5000.0,3000.0,0.12489538691450888,0.0,0
Kathmandu,Residential,South,Low Access,Budhanilkantha,1,Budhanilkantha,2700000.0,4.0,16.0,35.0,5000.0,8000.0,3000.0,4000.0,2000.0,5000.0,5000.0,3000.0,0.12489538691450888,0.0,0
Kathmandu,Residential,South,Low Access,Budhanilkantha,1,Budhanilkantha,2800000.0,5.75,16.0,35.0,5000.0,8000.0,3000.0,4000.0,2000.0,5000.0,5000.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,East,Low Access,Tokha,3,Tokha,3500000.0,9.5,10.0,60.0,2000.0,8000.0,500.0,3000.0,1000.0,1000.0,1000.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,West,High Access,Tokha,6,Dhapasi,5500000.0,31.0,13.0,100.0,500.0,7000.0,200.0,500.0,100.0,100.0,500.0,1000.0,0.1447438839476537,0.0,0
Kathmandu,Residential,West,Low Access,Tarkeshwor,1,Tarkeshwor,3200000.0,4.12,13.0,13.0,3000.0,8000.0,1000.0,3000.0,500.0,500.0,500.0,6000.0,0.11494673815138318,0.0,0
Kathmandu,Residential,West,High Access,Kathmandu,32,Koteshwor,8500000.0,9.0,13.0,42.0,500.0,1000.0,100.0,300.0,100.0,100.0,200.0,200.0,0.18856166434639035,0.0,0
Kathmandu,Semi-commercial,South,High Access,Kathmandu,31,Sankhamul,9500000.0,7.81,22.0,55.0,500.0,2000.0,100.0,1000.0,100.0,100.0,300.0,1000.0,0.1447438839476537,0.0,0
Kathmandu,Residential,South,High Access,Tokha,3,Tokha,3500000.0,3.5,16.0,55.0,400.0,4000.0,400.0,500.0,200.0,500.0,500.0,300.0,0.1752200244275466,0.0,0
Kathmandu,Commercial,West,High Access,Budhanilkantha,10,Kapan,5000000.0,5.0,20.0,40.0,100.0,6000.0,200.0,5000.0,200.0,1500.0,200.0,100.0,0.21667906533553166,20.0,0
Kathmandu,Residential,South-West,Low Access,Budhanilkantha,10,Kapan,4000000.0,4.5,13.0,38.0,300.0,4000.0,150.0,3000.0,150.0,200.0,300.0,500.0,0.1608594760130434,0.0,1
